Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
││││├── c_fc    | 39.372ms       | 45.638ms  | 42.668ms        | 42.668ms   | 512
││││└── c_proj  | 47.322ms       | 52.619ms  | 46.692ms        | 46.692ms   | 512
││├── 43        |                |           |                 |            |
│││├── ln_1     | 124.584ms      | 146.488ms | 70.913ms        | 75.797ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.141ms       | 45.244ms  | 36.762ms        | 36.762ms   | 512
││││└── c_proj  | 45.340ms       | 50.286ms  | 25.445ms        | 25.445ms   | 512
│││├── ln_2     | 123.545ms      | 145.173ms | 75.544ms        | 82.819ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.626ms       | 45.695ms  | 42.946ms        | 42.946ms   | 512
││││└── c_proj  | 47.255ms       | 52.590ms  | 46.018ms        | 46.018ms   | 512
││├── 44        |                |           |                 |            |
│││├── ln_1     | 123.733ms      | 145.515ms | 68.398ms        | 73.280ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.061ms       | 45.233ms  | 37.003ms        | 37.003ms   | 512
││││└── c_proj  | 47.090ms       | 53.335ms  | 25.512ms        | 25.512ms   | 512
│││├── ln_2     | 123.810ms      | 145.548ms | 68.509ms        | 73.395ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.187ms       | 45.279ms  | 42.819ms        | 42.819ms   | 512
││││└── c_proj  | 48.109ms       | 53.443ms  | 46.271ms        | 46.271ms   | 512
││├── 45        |                |           |                 |            |
│││├── ln_1     | 123.664ms      | 145.368ms | 70.810ms        | 75.690ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.570ms       | 45.719ms  | 36.797ms        | 36.797ms   | 512
││││└── c_proj  | 45.641ms       | 50.644ms  | 25.534ms        | 25.534ms   | 512
│││├── ln_2     | 123.774ms      | 145.601ms | 68.362ms        | 73.240ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.438ms       | 45.546ms  | 42.896ms        | 42.896ms   | 512
││││└── c_proj  | 47.131ms       | 52.409ms  | 46.096ms        | 46.096ms   | 512
││├── 46        |                |           |                 |            |
│││├── ln_1     | 127.190ms      | 149.359ms | 70.943ms        | 75.830ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 39.378ms       | 45.522ms  | 36.799ms        | 36.799ms   | 512
││││└── c_proj  | 45.609ms       | 50.600ms  | 25.358ms        | 25.358ms   | 512
│││├── ln_2     | 123.737ms      | 145.439ms | 68.376ms        | 73.259ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 39.317ms       | 45.427ms  | 43.089ms        | 43.089ms   | 512
││││└── c_proj  | 47.173ms       | 52.505ms  | 46.406ms        | 46.406ms   | 512
││└── 47        |                |           |                 |            |
││ ├── ln_1     | 123.671ms      | 145.448ms | 68.385ms        | 73.263ms   | 512
││ ├── attn     |                |           |                 |            |
││ │├── c_attn  | 39.328ms       | 45.446ms  | 36.783ms        | 36.783ms   | 512
││ │└── c_proj  | 45.490ms       | 50.461ms  | 25.657ms        | 25.657ms   | 512
││ ├── ln_2     | 126.664ms      | 151.200ms | 70.769ms        | 75.650ms   | 512
││ └── mlp      |                |           |                 |            |
││  ├── c_fc    | 39.630ms       | 45.867ms  | 42.928ms        | 42.928ms   | 512
││  └── c_proj  | 47.150ms       | 52.456ms  | 46.281ms        | 46.281ms   | 512
│└── ln_f       | 124.126ms      | 145.898ms | 68.443ms        | 73.324ms   | 512
└── lm_head     |                |           |                 |            |
 └── decoder    | 49.309ms       | 131.417ms | 278.190ms       | 827.014ms  | 512
