Module          | Self CPU total | CPU total | Self CUDA total | CUDA total | Number of Calls
││││├── c_fc    | 63.537ms       | 70.060ms  | 39.343ms        | 39.343ms   | 512
││││└── c_proj  | 52.920ms       | 58.038ms  | 44.352ms        | 44.352ms   | 512
││├── 43        |                |           |                 |            |
│││├── ln_1     | 123.722ms      | 145.517ms | 70.470ms        | 77.904ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 41.778ms       | 47.655ms  | 31.250ms        | 31.250ms   | 512
││││└── c_proj  | 64.327ms       | 69.165ms  | 23.542ms        | 23.542ms   | 512
│││├── ln_2     | 125.078ms      | 147.515ms | 75.064ms        | 80.090ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.191ms       | 69.144ms  | 40.992ms        | 40.992ms   | 512
││││└── c_proj  | 52.839ms       | 57.964ms  | 40.508ms        | 40.508ms   | 512
││├── 44        |                |           |                 |            |
│││├── ln_1     | 123.828ms      | 145.727ms | 70.317ms        | 75.355ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 41.670ms       | 47.576ms  | 31.200ms        | 31.200ms   | 512
││││└── c_proj  | 61.159ms       | 65.913ms  | 21.297ms        | 21.297ms   | 512
│││├── ln_2     | 127.734ms      | 149.693ms | 72.251ms        | 77.260ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.133ms       | 69.203ms  | 38.196ms        | 38.196ms   | 512
││││└── c_proj  | 52.661ms       | 57.735ms  | 40.271ms        | 40.271ms   | 512
││├── 45        |                |           |                 |            |
│││├── ln_1     | 123.619ms      | 145.446ms | 70.048ms        | 75.065ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 41.995ms       | 47.894ms  | 31.173ms        | 31.173ms   | 512
││││└── c_proj  | 62.062ms       | 66.882ms  | 21.260ms        | 21.260ms   | 512
│││├── ln_2     | 125.207ms      | 147.081ms | 72.315ms        | 77.322ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 65.795ms       | 71.797ms  | 43.027ms        | 43.027ms   | 512
││││└── c_proj  | 53.684ms       | 58.802ms  | 41.249ms        | 41.249ms   | 512
││├── 46        |                |           |                 |            |
│││├── ln_1     | 123.797ms      | 145.665ms | 67.869ms        | 72.894ms   | 512
│││├── attn     |                |           |                 |            |
││││├── c_attn  | 42.186ms       | 48.235ms  | 31.603ms        | 31.603ms   | 512
││││└── c_proj  | 61.300ms       | 66.049ms  | 21.472ms        | 21.472ms   | 512
│││├── ln_2     | 125.832ms      | 147.951ms | 70.518ms        | 75.560ms   | 512
│││├── mlp      |                |           |                 |            |
││││├── c_fc    | 63.674ms       | 69.599ms  | 43.727ms        | 43.727ms   | 512
││││└── c_proj  | 52.596ms       | 57.683ms  | 40.926ms        | 40.926ms   | 512
││└── 47        |                |           |                 |            |
││ ├── ln_1     | 123.823ms      | 145.659ms | 73.584ms        | 78.672ms   | 512
││ ├── attn     |                |           |                 |            |
││ │├── c_attn  | 42.899ms       | 48.850ms  | 34.595ms        | 34.595ms   | 512
││ │└── c_proj  | 61.394ms       | 66.241ms  | 22.541ms        | 22.541ms   | 512
││ ├── ln_2     | 123.928ms      | 145.805ms | 76.217ms        | 81.311ms   | 512
││ └── mlp      |                |           |                 |            |
││  ├── c_fc    | 63.132ms       | 69.092ms  | 39.314ms        | 39.314ms   | 512
││  └── c_proj  | 53.235ms       | 58.363ms  | 45.953ms        | 45.953ms   | 512
│└── ln_f       | 126.632ms      | 148.576ms | 71.208ms        | 76.294ms   | 512
└── lm_head     |                |           |                 |            |
 └── decoder    | 67.925ms       | 197.433ms | 224.951ms       | 666.138ms  | 512
